"year","measure_id","state_fips","county_fips","correction","race_aian","race_aian_ci_low","race_aian_ci_high","race_aian_flag","race_asian","race_asian_ci_low","race_asian_ci_high","race_asian_flag","race_black","race_black_ci_low","race_black_ci_high","race_black_flag","race_hispanic","race_hispanic_ci_low","race_hispanic_ci_high","race_hispanic_flag","race_nhopi","race_nhopi_ci_low","race_nhopi_ci_high","race_nhopi_flag","race_tom","race_tom_ci_low","race_tom_ci_high","race_tom_flag","race_white","race_white_ci_low","race_white_ci_high","race_white_flag","last_updated"
2017,24,"02","016",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128048780487805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0437158469945355,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","020",0,NA,NA,NA,NA,NA,NA,NA,NA,0.25364238410596,NA,NA,NA,0.143485915492958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0549400080372008,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","050",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15929203539823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0122850122850123,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","068",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0542857142857143,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","090",0,NA,NA,NA,NA,NA,NA,NA,NA,0.0176125244618395,NA,NA,NA,0.0970017636684303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0834465359984475,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0429447852760736,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","110",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192364170337739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0448383733055266,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","122",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215492957746479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0936434108527132,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","130",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184426229508197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0993630573248408,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","150",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0578313253012048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10314465408805,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","170",0,NA,NA,NA,NA,NA,NA,NA,NA,0.299559471365639,NA,NA,NA,0.0711166562694947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123360124449054,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","180",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0391459074733096,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","188",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295081967213115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265822784810127,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","220",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0830152671755725,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","240",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206598586017282,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","261",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0421127765881513,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"02","290",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220183486238532,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429361179361179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24812030075188,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","003",0,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,NA,NA,NA,0.318449813057233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173891086608871,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","005",0,NA,NA,NA,NA,NA,NA,NA,NA,0.123737373737374,NA,NA,NA,0.387413297242429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0988243613541943,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472646958885491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206673842841765,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298834628190899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192331735778287,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210191082802548,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357011635027557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242579324462641,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","013",0,NA,NA,NA,NA,NA,NA,NA,NA,0.304126069643311,NA,NA,NA,0.376843227211641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110175177394079,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"04","015",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356695098139965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296348597942304,NA,NA,NA,"2017-02-10 12:07:00"
